species,LiftOn best,Liftoff best,miniprot best,LiftOn worse than Liftoff only,LiftOn worse than miniprot only,LiftOn worst,LiftOn equal to Liftoff only,LiftOn equal to miniprot only,All equal,Total counts,lifton=liftoff=miniprot,lifton>liftoff=miniprot,lifton>liftoff>miniprot,lifton>miniprot>liftoff,lifton=liftoff>miniprot,lifton=miniprot>liftoff,liftoff>lifton>miniprot,miniprot>lifton>liftoff,liftoff>lifton=miniprot,miniprot>lifton=liftoff,liftoff=miniprot>lifton,liftoff>miniprot>lifton,miniprot>liftoff>lifton,all,liftoff_score>miniprot_score,liftoff_score=miniprot_score,liftoff_score>lifton_score,liftoff_score=lifton_score,miniprot_score>liftoff_score,miniprot_score=liftoff_score,miniprot_score>lifton_score,miniprot_score=lifton_score,lifton_score>liftoff_score,lifton_score=liftoff_score,lifton_score>miniprot_score,lifton_score=miniprot_score
bee,548,3,0,2,0,1,7490,256,19679,27974,19679,241,238,69,7490,254,0,0,2,0,0,1,0,27974,7731,19920,3,27169,323,19920,1,19935,802,27169,8038,19935
bee_test,565,3,0,2,0,1,7514,264,19823,28167,19823,248,244,73,7514,262,0,0,2,0,0,1,0,28167,7761,20071,3,27337,335,20071,1,20087,827,27337,8079,20087
rice,1334,2,18,2,16,2,7876,398,44219,53844,44219,574,579,181,7874,397,1,14,1,2,0,0,2,53844,8455,44793,4,52095,596,44793,18,44617,1745,52095,9209,44617
rice_test,1334,2,18,2,16,2,7876,395,44218,53840,44218,574,579,181,7874,394,1,14,1,2,0,0,2,53840,8455,44792,4,52094,593,44792,18,44613,1742,52094,9209,44613
arabadop,3101,16,40,16,38,2,10678,1219,38994,54038,38994,1624,971,506,10675,1212,9,35,7,3,0,0,2,54038,11662,40618,18,49672,1758,40618,40,40213,4348,49672,13785,40213
arabadop_test,77,1,2,1,2,0,11408,90,43250,54828,43250,39,28,10,11408,90,1,2,0,0,0,0,0,54828,11437,43289,1,54658,102,43289,2,43340,169,54658,11486,43340
human_mane,121,0,1,0,1,0,3234,386,15898,19640,15898,70,26,25,3234,386,0,1,0,0,0,0,0,19640,3260,15968,0,19132,412,15968,1,16284,508,19132,3355,16284
human_mane_test,121,0,1,0,1,0,3234,386,15898,19640,15898,70,26,25,3234,386,0,1,0,0,0,0,0,19640,3260,15968,0,19132,412,15968,1,16284,508,19132,3355,16284
human_chess,721,3,10,3,9,1,84885,460,70541,156618,70541,175,193,353,84885,458,1,9,2,0,0,0,1,156618,85081,70716,4,155426,821,70716,10,71001,1188,155426,85607,71001
human_chess_test,702,3,10,3,9,1,84887,447,70541,156588,70541,174,192,336,84887,445,1,9,2,0,0,0,1,156588,85082,70715,4,155428,791,70715,10,70988,1156,155428,85590,70988
