chr	start	end	ID	liftoff	miniprot	lifton	method	mutation
chr1	1750974	1755200	CHS.144.2	0.232	0.232	0.264	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	1750974	1755200	CHS.144.5	0.232	0.232	0.264	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	15673616	15677993	CHS.544.8	0.1160714285714285	0.1160714285714285	0.2232142857142857	LiftOn_chaining_algorithm	stop_codon_gain
chr1	16024329	16057045	CHS.28461.11	0.9286775631500744	0.0	0.9301634472511144	Liftoff_truncated	frameshift;stop_codon_gain
chr1	16024329	16057045	CHS.28461.13	0.083415435139573	0.0	0.6610169491525424	Liftoff_truncated	frameshift;stop_codon_gain
chr1	16024329	16057045	CHS.28461.15	0.9301634472511144	0.0	0.9316493313521546	Liftoff_truncated	frameshift;stop_codon_gain
chr1	16024329	16057045	CHS.28461.16	0.083415435139573	0.0	0.6610169491525424	Liftoff_truncated	frameshift;stop_codon_gain
chr1	16024329	16057045	CHS.28461.17	0.9301634472511144	0.0	0.9316493313521546	Liftoff_truncated	frameshift;stop_codon_gain
chr1	16024460	16054255	CHS.28461.19	0.083415435139573	0.0	0.6610169491525424	Liftoff_truncated	frameshift;stop_codon_gain
chr1	16156804	16219484	CHS.2730.27	0.1065735539699408	0.0	0.5364775239498895	Liftoff_truncated	frameshift;stop_codon_gain
chr1	25637681	25655660	CHS.858.1	0.2152542372881355	0.2148900169204737	0.4966101694915254	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	46676425	46696812	CHS.1531.10	0.8157894736842105	0.8206686930091185	0.8312883435582822	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	46676425	46696812	CHS.1531.12	0.3341836734693877	0.9716713881019832	0.9773371104815864	LiftOn_chaining_algorithm	frameshift
chr1	46676425	46696812	CHS.1531.13	0.3324808184143222	0.9715909090909092	0.9772727272727272	LiftOn_chaining_algorithm	frameshift
chr1	53127018	53210093	CHS.1643.36	0.0326370757180156	0.0326370757180156	0.1352718078381795	LiftOn_chaining_algorithm	inframe_deletion;stop_codon_gain
chr1	53777070	53793996	CHS.1661.8	0.3351351351351351	0.3333333333333333	0.6451612903225806	LiftOn_chaining_algorithm	inframe_deletion;stop_codon_gain
chr1	108171581	108223492	CHS.2405.3	0.9082969432314412	0.943355119825708	0.945414847161572	LiftOn_chaining_algorithm	frameshift;start_lost;stop_missing
chr1	119381955	119407329	CHS.2692.15	0.8698060941828255	0.8425414364640884	0.8898305084745762	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	119381957	119407329	CHS.2692.16	0.8909512761020881	0.8680555555555556	0.9080188679245284	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	120737164	120851508	CHS.2730.26	0.626578073089701	0.0	0.6581491712707183	Liftoff_truncated	frameshift;stop_codon_gain
chr1	145181583	145262502	CHS.131229.0	0.7635686000465874	0.8384634952938184	0.8574772431729519	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	145721211	145740382	CHS.28461.14	0.1224209078404401	0.0	0.6775631500742942	Liftoff_truncated	frameshift;stop_codon_gain
chr1	149674318	149675377	CHS.2999.1	0.1768953068592057	0.1768953068592057	0.20703125	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	150825799	150840184	CHS.3068.11	0.0536480686695279	0.0536480686695279	0.3927038626609442	LiftOn_chaining_algorithm	inframe_deletion;stop_codon_gain
chr1	153336317	153343543	CHS.3206.1	0.396039603960396	0.392156862745098	0.5	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	154325440	154331472	CHS.3261.43	0.908130081300813	0.9788789601949636	0.9796747967479674	LiftOn_chaining_algorithm	inframe_deletion;stop_missing
chr1	155351480	155378178	CHS.3310.15	0.064516129032258	0.064516129032258	0.2181818181818181	LiftOn_chaining_algorithm	inframe_deletion;stop_codon_gain
chr1	155507822	155523825	CHS.3323.5	0.9097222222222222	0.9097222222222222	0.9228971962616822	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	155507822	155523825	CHS.3323.6	0.7880434782608695	0.782608695652174	0.8277777777777777	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	155507822	155523825	CHS.3323.7	0.900763358778626	0.900763358778626	0.9151670951156812	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	155507822	155523825	CHS.3323.8	0.9155844155844156	0.9155844155844156	0.9279475982532752	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	159820310	159842476	CHS.3490.1	0.2714285714285714	0.2709447415329768	0.5026737967914439	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	170541681	170568989	CHS.3712.25	0.861995753715499	0.861995753715499	0.8641188959660298	LiftOn_chaining_algorithm	inframe_deletion;stop_codon_gain
chr1	200447759	200486213	CHS.4135.11	0.9709119496855346	0.9821047008547008	0.9834445927903872	LiftOn_chaining_algorithm	frameshift;stop_missing
chr1	235372062	235393811	CHS.5009.21	0.050125313283208	0.050125313283208	0.964769647696477	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	236087386	236175684	CHS.5024.1	0.0437086092715231	0.0436507936507936	0.9374090247452692	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	247788117	247789081	CHS.5212.1	0.3411078717201166	0.3411078717201166	0.557632398753894	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	247883768	247888943	CHS.139645.2	0.0611620795107033	0.0611620795107033	0.9119496855345912	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	248074945	248083605	CHS.131137.0	0.6072507552870091	0.0	0.6203703703703703	Liftoff_truncated	frameshift;stop_codon_gain
chr10	19508734	19752735	CHS.5652.12	0.0335305719921104	0.0335305719921104	0.1404174573055028	LiftOn_chaining_algorithm	inframe_deletion;stop_codon_gain
chr10	32474832	32911592	CHS.5898.24	0.8946236559139785	0.8946236559139785	0.9025270758122744	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr10	32474832	32911592	CHS.5898.5	0.8946236559139785	0.8946236559139785	0.9025270758122744	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr10	48844223	48848691	CHS.6139.3	0.45	0.0	0.4571428571428571	Liftoff_truncated	frameshift;stop_codon_gain
chr10	69750773	69761874	CHS.6364.1	0.0	0.0	0.8868686868686869	Liftoff_truncated	frameshift;start_lost;stop_codon_gain
chr10	69750773	69761874	CHS.6364.2	0.0	0.0	0.5087719298245614	Liftoff_truncated	frameshift;start_lost;stop_codon_gain
chr10	69750773	69764246	CHS.6364.4	0.0	0.0	0.8868686868686869	Liftoff_truncated	frameshift;start_lost;stop_codon_gain
chr10	75967934	75973009	CHS.6534.2	0.2273972602739726	0.228021978021978	0.6537313432835821	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr10	88109085	88118613	CHS.6713.3	0.0828343313373253	0.0827517447657028	0.9044368600682594	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
