chr	start	end	ID	liftoff	miniprot	lifton	method	mutation
chr1	12544302	12549523	rna-NM_001291380.1	0.2147368421052631	0.2147368421052631	0.6989473684210527	LiftOn_chaining_algorithm	frameshift;start_lost;stop_codon_gain
chr1	92687309	92806635	rna-NM_001006605.5	0.9347319347319348	0.9347319347319348	0.9370629370629372	LiftOn_chaining_algorithm	inframe_deletion;stop_codon_gain
chr1	145181583	145262502	rna-NM_001351365.2	0.7633907778295296	0.8384634952938184	0.8575143005720229	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	153336317	153343543	rna-NM_001010979.3	0.392156862745098	0.392156862745098	0.5098039215686274	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	155507822	155523825	rna-NM_020407.5	0.9136069114470844	0.9136069114470844	0.9302832244008714	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	158939372	158953270	rna-NM_001004310.3	0.967816091954023	0.9655963302752294	0.9701149425287356	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	170541681	170568989	rna-NM_001460.5	0.878731343283582	0.878731343283582	0.8805970149253731	LiftOn_chaining_algorithm	inframe_deletion;stop_codon_gain
chr1	200447759	200486213	rna-NM_001164586.2	0.9709195703432014	0.9818424566088118	0.9837116154873164	LiftOn_chaining_algorithm	frameshift;stop_missing
chr1	247374888	247375826	rna-NM_001001963.1	0.9073482428115016	0.0	0.9105431309904152	Liftoff_truncated	stop_codon_gain
chr1	247788117	247789081	rna-NM_001004696.2	0.3401162790697674	0.3401162790697674	0.5607476635514018	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr1	248074945	248083605	rna-NM_001001827.2	0.6054216867469879	0.0	0.6215384615384615	Liftoff_truncated	frameshift;stop_codon_gain
chr10	32474832	32911592	rna-NM_001395015.1	0.8939828080229226	0.8939828080229226	0.9025974025974026	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr10	75967934	75973009	rna-NM_001363514.2	0.226775956284153	0.226775956284153	0.6567164179104478	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr10	88109085	88118613	rna-NM_001099338.2	0.0827517447657028	0.0827517447657028	0.9055745164960182	LiftOn_chaining_algorithm	frameshift;stop_codon_gain
chr11	113128	114065	rna-NM_001005277.1	0.3709198813056379	0.0	0.5527156549520766	Liftoff_truncated	frameshift;stop_codon_gain
